time,productivity
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-01,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-02,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
2015-01-03,NA
